id,facebookUrl,Text,,,,,,,Label
UzpfSTEwMDA5MjM5NzU5MTk4MDpWSzoxMDY1NTczMTkxMjE5Mzk0,https://www.facebook.com/groups/1037034594073254,"উত্তরবঙ্গের বন্যায় আমরা চুপ কেন, আসুন বন্যার্ত মানুষের পাশে দাঁড়াই।",,,,,,,
UzpfSTEwMDAzNjc2ODAxMzY0NjpWSzoxMDY0MzU0OTg4MDA3ODgx,https://www.facebook.com/groups/1037034594073254,আজকের শেরপুর,,,,,,,
UzpfSTEwMDAzNTQ2MDM3MDA5NjpWSzoxMDY0OTI0MTYxMjg0Mjk3,https://www.facebook.com/groups/1037034594073254,"টানা চারদিনের বৃষ্টি ও পাহাড়ি ঢলে ভয়াবহ বন্যার কবলে আমাদের জেলা শহর শেরপুরের  ঝিনাইগাতী, নালিতাবাড়ী ও শ্রীবর্দী উপজেলা। পরিস্থিতি ক্রমশই খারাপ হচ্ছে। ইতোমধ্যে জানমালের ব্যাপক ক্ষয়ক্ষতি হয়েছে।
এমন পরিস্থিতিতে যে যেভাবে পারেন, যতটুকু পারেন, শ্রম দিয়ে,অর্থ দিয়ে,পরামর্শ দিয়ে শেরপুরবাসীর পাশে দাড়ান। 
আমরা শেরপুর জেলা ছাত্র কল্যাণ,নোয়াখালী বিজ্ঞান ও প্রযুক্তি বিশ্ববিদ্যালয় থেকে  বানভাসি এই মানুষগুলোর পাশে দাঁড়ানোর জন্য আপনাদের সহযোগিতা কামনা করছি। এই বিপদ কাটানোর জন্য সকলের অংশগ্রহণ প্রয়োজন,প্রয়োজন অনেক অর্থের।  সবাই এগিয়ে আসুন। সকলের সার্বিক সহযোগিতা ছাড়া এই বিপর্যয় কাটিয়ে উঠা অসম্ভব। আপনাদের পাঠানো অর্থের মাধ্যমে জরুরি শুকনো খাবার,বিশুদ্ধ পানি,রেসকিউ সরঞ্জাম ইত্যাদির ব্যাবস্থা করা হবে।দেশের এই দূর্যোগকালীন সময়ে আপনাদের সহায়তা একান্ত কাম্য। 
সহায়তা পাঠানোর মাধ্যমে-

বিকাশ-
 01728215421
নগদ- 
01796391461
রকেট-
017834552896",,,,,,,
UzpfSTEwMDAwODgzOTEyODczMzpWSzoxMDYyMTQ5NjkxNTYxNzQ0,https://www.facebook.com/groups/1037034594073254,"বন্যার্ত পরিবারের পুনর্বাসনে বন্যার্তদের পাশে নোবিপ্রবিয়ান  

আজ বন্যায় ক্ষতিগ্রস্ত দুঃস্থ এক পরিবারকে একটি ঘর নির্মাণের জন্য ২.৫ বাঁধ টিন ও মচকা কিনে দেওয়া হয়েছে।
স্থান : রমনিরহাট,আমিন বাজার,বেগমগঞ্জ,নোয়াখালী।

এবং অন্য একটি পরিবারকে ৩ বাঁধ টিন কিনে দেওয়া হয়েছে।
স্থান : দাসারহাট,লক্ষীপুর।",,,,,,,
UzpfSTEwMDAwMjYwOTk2NjE4MzpWSzoxMDYwOTYwODI1MDEzOTY0,https://www.facebook.com/groups/1037034594073254,"কুড়িগ্রাম, লালমনিরহাট, রংপুর সহ উত্তরবঙ্গের বন্যাকবলিত স্থানের আপডেট জানাতে পারেন বন্যার্তদের পাশে নোবিপ্রবিয়ান গ্রুপে। মিডিয়ার কভারেজ একান্ত কাম্য।

বাংলাদেশের মানুষ যেন থাকে নিরাপদে!

@everyone",,,,,,,
UzpfSTEwMDA1NTA0Mjk1MDEyMDpWSzoxMDYwMzM3NzcxNzQyOTM2,https://www.facebook.com/groups/1037034594073254,"বন্যার্ত পরিবারের পুনর্বাসনে বন্যার্তদের পাশে নোবিপ্রবিয়ান। 

আজ বন্যায় ক্ষতিগ্রস্ত দুস্থ এক পরিবারকে একটি ঘর নির্মাণের জন্য ২ বান টিন ও প্রয়োজনীয় কিছু সামগ্রী কিনে দেওয়া হয়েছে। 

স্থান :
জয়কৃষ্ণপুর,হাসানহাট,বেগমগঞ্জ,নোয়াখালী।",,,,,,,
UzpfSTEwMDAwMjYwOTk2NjE4MzpWSzoxMDU5Mzg3NDE1MTcxMzA1,https://www.facebook.com/groups/1037034594073254,"বন্যার্তদের পাশে নোবিপ্রবিয়ান প্রজেক্টের মাধ্যমে  বেগমগঞ্জ উপজেলার হাফিজুর গ্রামে পৌঁছে গিয়েছে উপহার। প্রায় ২২ টা পরিবারের জন্য চাল, ডাল, পেয়াজ, লবণ, তেল সামগ্রী স্থানীয়দের সহযোগিতায় ক্ষতিগ্রস্ত পরিবারের কাছে হস্তান্তর করা হয়েছে। ধন্যবাদ।",,,,,,,
UzpfSTEwMDAxMjY3Njc1NzUxOTpWSzoxMDU0MDg1MTI1NzAxNTM0,https://www.facebook.com/groups/1037034594073254,"⭕ আসসালামু আলাইকুম। একটি গুরুত্বপূর্ণ বিষয় নিয়ে সবার সহযোগিতা চাচ্ছি। 

বন্যার্ত অনেকগুলো মানুষের পুনর্বাসনের উদ্দেশ্যে একটি উদ্যোগে প্রায় ৬০ জন আবেদন করেছিলো এই নোয়াখালী থেকে। তবে কারা প্রকৃতপক্ষে দাবিদার তার সঠিক তথ্যের জন্য আপনার সবার সহযোগিতা কাম্য। আমার কাছে উক্ত ৬০ জনের ঠিকানা এবং ফোন নাম্বার আছে। নোয়াখালীর বিভিন্ন অঞ্চলে আপনাদের আশেপাশের ঠিকানাগুলোতে আমরা সারেজমিনে গিয়ে অথবা অন্য যেকোনোভাবে আপনারা আমাকে সঠিক তথ্যগুলো দিয়ে সাহায্য করতে পারবেন কি? 

আপনারা যারা আগ্রহী কমেন্ট বক্সে কষ্ট করে আপনাদের উপস্থিতি জানান দিন, আমি আপনাদের সাথে যোগাযোগ করবো। বেগমগঞ্জ, সোনাইমুড়ী, সদর এভাবে যে যেখানে পারবেন সেভাবে একটু কাজ করতে হবে।",,,,,,,
UzpfSTEwMDAwNTUzMjc5NjgwOTpWSzoxMDUyMzU2Nzg5MjA3NzAx,https://www.facebook.com/groups/1037034594073254,"বন্যায় বাড়িঘর ক্ষতিগ্রস্ত হওয়া বন্যার্তদের পূনর্বাসন কাজে বন্যার্তদের পাশে নোবিপ্রবিয়ান  ❤️

বন্যার ফলে ক্ষতিগ্রস্ত দুস্থ এক পরিবারের দুই রুমের একটি ঘর নির্মাণের জন্য কিনে দেয়া হয়েছে টিন ও কিছু প্রয়োজনীয় সামগ্রী।

স্থান :
মাছিমপুর ক্লিনিক এর পার্শ্ববর্তী এলাকা,
সোনাপুর-কবিরহাট রোড।",,,,,,,
UzpfSTEwMDAwMjYwOTk2NjE4MzpWSzoxMDUxMTQ0NTY5MzI4OTIz,https://www.facebook.com/groups/1037034594073254,,,,,,,,
UzpfSTEwMDA4Nzg3Mzk3NDc2ODpWSzoxMDUwNDQ5NDM2MDY1MTAz,https://www.facebook.com/groups/1037034594073254,"#শেয়ার_করুন🙏
নোয়াখালীতে ছয় সদস্য বিশিষ্ট আব্দুল মতিনের পরিবারটির থাকার জায়গা সহ সমস্তকিছু আগুনে পুড়ে তছনছ।🥲
ময়মনসিংহ যুব সমাজ কল্যাণ 🤝

ছয় সদস্য বিশিষ্ট আব্দুলমতিনের পরিবারটির থাকার জায়গা সহ সমস্তকিছু আগুনে পুড়ে তছনছ। বর্তমানে তার বৃদ্ধ মা সহ ৬সদস্য বিশিষ্ট পরিবারটি বড্ড অসহায়🥲
বিত্তবান ব্যক্তিদের নিকট অনুরোধ আগুনে পুড়ে যাওয়া নিঃস্ব অসহায় পরিবারের পাশে সরাসরি ১০০/২০০ টাকা তাদের নাম্বারে পাঠিয়ে যথাসাধ্য সকলেই সহযোগীতায় হাত বাড়িয়ে দিন🙏
#Bekashঃ_01314648457 (personal)

অনুরোধক্রমেঃ- 
ময়মনসিং যুব সমাজ কল্যাণ সংস্থা🤝",,,,,,,
UzpfSTEwMDAwMjYwOTk2NjE4MzpWSzoxMDQ3MDQ1MjY2NDA1NTIw,https://www.facebook.com/groups/1037034594073254,"কবিরহাট উপজেলায় আজকের উপহার বিতরণ কার্যক্রমের কিছু মুহূর্ত। নোবিপ্রবির ৩ জন সম্মানিত শিক্ষকের তত্ত্বাবধানে প্রায় ১০০ পরিবারের জন্য এই উপহার পৌঁছে দেওয়া হয়েছে। 

বন্যার্তদের পাশে নোবিপ্রবিয়ান",,,,,,,
UzpfSTEwMDAwMjYwOTk2NjE4MzpWSzoxMDQ2OTQwNTEzMDgyNjYy,https://www.facebook.com/groups/1037034594073254,"পূর্বে উল্লেখিত বন্যার্তদের পাশে নোবিপ্রবিয়ান এর ফান্ডের হিসাব

বিকাশ ৪,৯৫,০৯৯ টাকা
নগদ ৭২, ৪০৫ টাকা
রকেট ৮,৩৭০ টাকা
ব্যাংক একাউন্ট (EBL, IBBL, Agrani,Sonali) ৪,০০,৫২৯ টাকা
অফলাইন ফান্ড ১,৯৪,৫৬৪ টাকা

মোট কালেকশন ১১,৭০,৯৬৭ টাকা 
খরচ ১০,৫৮,৩২৭ টাকা

বর্তমানে অবশিষ্ট ক্যাশ আছে (ক্যাশ আউটের পর) ১,১২,৬৪০ টাকা

⚠️⚠️⚠️⚠️⚠️  গুরুত্বপূর্ণ  ⚠️⚠️⚠️⚠️⚠️

সকলের পরামর্শক্রমে অবশিষ্ট টাকা আমরা বন্যার্ত দুইটি পরিবারের পুনর্বাসনে সহায়তা করবো। বর্তমানে বিভিন্ন তথ্য যাচাই বাছাই করে পুরাপুরি ক্ষতিগ্রস্ত দুইটি পরিবারের পাশে দাঁড়াতে ইচ্ছুক। তাদের পুর্নবাসন দায়িত্ব আমরা গ্রহণ করবো। এই বন্যায় অনেক মানুষ ক্ষতিগ্রস্ত হয়েছে, পূর্নবাসনে সকলের পাশে দাঁড়ানোর মতো আর্থিকভাবে আমরা সীমাবদ্ধ। সেই সীমাবদ্ধের জায়গা থেকে আমরা দুইটা পরিবারের সম্পূর্ণ দায়িত্ব কাঁধে তুলে নিচ্ছি। আমাদের জন্য দোয়া করবেন। ধন্যবাদ।",,,,,,,
UzpfSTE1MzU0NTgyOTc6Vks6MTA0Njg4MjEyOTc1NTE2Nw==,https://www.facebook.com/groups/1037034594073254,"নোবিপ্রবিয়ান এর সকলের প্রতি কৃতজ্ঞতা  : 
NPS ময়মনসিংহ বিভাগীয় কমিটির পক্ষ থেকে ..",,,,,,,
UzpfSTEwMDAwMjYwOTk2NjE4MzpWSzoxMDQ2NDk5MzU5NzkzNDQ0,https://www.facebook.com/groups/1037034594073254,"নাম প্রকাশে অনিচ্ছুক নোবিপ্রবির ৩ জন সম্মানিত শিক্ষকের তত্ত্বাবধানে আগামীকাল কবিরহাট উপজেলায় (নরোত্তমপুর ইউনিয়ন, বাটইয়া  ইউনিয়ন, চাপরাশিরহাট ইউনিয়ন) বন্যার্ত প্রায় ১০০ পরিবারের জন্য যাবে উপহার সামগ্রী (চাল, ডাল, তেল, পেঁয়াজ, মেডিসিনসহ নিত্য প্রয়োজনীয় সামগ্রী)। 

বন্যার্তদের পাশে নোবিপ্রবিয়ান এর ভলেন্টিয়ারদের সহযোগিতায় চলছে উপহার প্যাকিং এর কাজ। সকলের দোয়াপ্রার্থী।",,,,,,,
UzpfSTEwMDAxMDI5MTg3NTA4NzpWSzoxMDQ0MjEzODMzMzU1MzMw,https://www.facebook.com/groups/1037034594073254,"দীর্ঘ ১২ দিন পর বন্যার পানি কমে যাওয়া সাপেক্ষে আশ্রয়কেন্দ্র থেকে গতকাল বিদায় নিয়েছেন আমাদের অতিথিরা৷ এই পুরোটা সময়ে আমরা সর্বোচ্চ চেষ্টা করেছি বন্যার্তদের সাহায্যে এগিয়ে আসার। আমাদের যে ভরসা আপনারা করেছেন তা আমাদের কাছে আমানত স্বরূপ। এই পুরো সময় জুড়ে সেই আমানতেরই যথাযথ হিসাব দেয়ার চেষ্টা করা হয়েছে ভিডিওটিতে। 

মানুষ হিসেবে কেউই যেহেতু আমরা ভুলের উর্ধ্বে নই,  আমাদের ভুল ভ্রান্তিগুলোকে ক্ষমাসুন্দর দৃষ্টিতে দেখার অনুরোধ জানিয়ে আমাদের কার্যক্রমের সমাপ্তি ঘোষণা করছি।

 (তবে অন্যান্য জায়গা থেকে বন্যার্তদের পাশে দাঁড়াতে কেউ আমাদের সাহায্য চাইলে আমরা সর্বোচ্চ সহায়তা করব।)

সবশেষে, এই কার্যক্রম সফল করতে যারা আমাদের সাথে কাজ করেছেন, সমর্থন দিয়েছেন তাদের প্রতি আমরা অশেষ কৃতজ্ঞ। তাদের অক্লান্ত পরিশ্রমের ফলেই আমরা এই কঠিন সময়ে এত বড় সংকট মোকাবেলায় ভূমিকা রাখতে পেরেছি। ধন্যবাদ।",,,,,,,
UzpfSTEwMDAzOTA5MjQwNzQxMzpWSzoxMDQ0MTYzODAwMDI3MDAw,https://www.facebook.com/groups/1037034594073254,,,,,,,,
UzpfSTEwMDA1Njc3NjE3OTI5MDpWSzoxMDQ0MDYxNTYzMzcwNTU3,https://www.facebook.com/groups/1037034594073254,"#ভলান্টিয়ার
#volunteerneededinnstu
আসসালামু আলাইকুম ওরহমাতুল্লাহি ওবারাকাতুহু,

আপনারা সবাই অবগত আছেন যে,
ইতিমধ্যে ফেনীর বেশির ভাগ জায়গায় পানি সরে গিয়েছে কিন্তু এখনো নোয়াখালীতে হাজার হাজার মানুষ পানিবন্দী অবস্থায় জীবন কাটাচ্ছেন বিশেষ করে গ্রামের ভিতরের দিকে যারা বসবাস করছেন।তাই পানিবন্দী মানুষের কষ্ট কিছুটা নিরসন করার লক্ষে আজকে মানুষ মানুষের জন্য ফাউন্ডেশন এর পক্ষ থেকে এক ট্র্যাক ত্রাণসামগ্রী উপহার এসেছে।

বন্যার্ত মানুষের জন্য সুষ্ঠুভাবে খাবার সামগ্রী প্যাক করার লক্ষ্যে আপনাদের সাহায্য আমাদের একান্ত কাম্য।

🕡Time ✅ সন্ধ্যায় বাদ মাগরিব
🛎️Place✅ বঙ্গবন্ধু হলের গেস্ট রুম ,

আশা করি,আপনারা আপনাদেরকে সহযোগিতার হাত বাড়িয়ে এই মহৎ কার্যক্রমকে ত্বরান্বিত করবেন।
আপনাদের স্বতঃস্ফূর্ত অংশগ্রহণের অপেক্ষায় রইলাম।
সকলকে ধন্যবাদ, যাযাক আল্লাহু খায়রান।

যোগাযোগঃ Smrity Rany Roy 
                 স্মৃতি আপু :01882-886138
                  Israt Jahan Tarifa 
                 তারিফা আপু:+880 1779-430041",,,,,,,
UzpfSTEwMDA5NTA4NDI2MTc1MTpWSzoxMDQzOTE1NTg2NzE4NDg4,https://www.facebook.com/groups/1037034594073254,বন্যার্তদের পাশে নোবিপ্রবিয়ান।🤍🖤,,,,,,,
UzpfSTEwMDA3MzQwOTk4NTY5NDpWSzoxMDQzNjc4MDUzNDA4OTA4,https://www.facebook.com/groups/1037034594073254,,,,,,,,
